flow,src,src_port,dst,dst_port,feduration,total_fpackets,total_bpackets,total_fpktl,total_bpktl,min_fpktl,min_bpktl,max_fpktl,max_bpktl,mean_fpktl,mean_bpktl,std_fpktl,std_bpktl,total_fiat,total_biat,min_fiat,min_biat,max_fiat,max_biat,mean_fiat,mean_biat,std_fiat,std_biat,fpsh_cnt,bpsh_cnt,furg_cnt,burg_cnt,total_fhlen,total_bhlen,fPktsPerSecond,bPktsPerSecond,flowPktsPerSecond,flowBytesPerSecond,min_flowpktl,max_flowpktl,mean_flowpktl,std_flowpktl,min_flowiat,max_flowiat,mean_flowiat,std_flowiat,flow_fin,flow_syn,flow_rst,flow_psh,flow_ack,flow_urg,flow_cwr,flow_ece,downUpRatio,avgPacketSize,fAvgSegmentSize,fAvgBytesPerBulk,fAvgPacketsPerBulk,fAvgBulkRate,bAvgSegmentSize,bAvgBytesPerBulk,bAvgPacketsPerBulk,bAvgBulkRate,label
192.168.0.11:54773<->74.118.186.210:443,192.168.0.11,54773,74.118.186.210,443,13.85630298,18,15,11754,6342,54,60,1490,1490,653,422.8,648.7166516,573.3454705,13.753777,13.716189,0,0,9.900045,9.900045,0.809045706,0.979727786,2.409580575,2.716063483,4,6,0,0,0,0,1.299047807,1.08253984,2.381587647,1305.976062,54,1490,548.3636364,617.1985002,0,9.900045,0.433009469,1.77685359,0,2,0,10,32,0,0,0,1.853358562,548.3636364,598.3333333,6411.272727,1.833333333,0.852112676,368.2666667,0,1.666666667,0.774647887,WWW
192.168.0.11:54774<->23.210.69.124:443,192.168.0.11,54774,23.210.69.124,443,3.898927927,21,20,8809,6502,54,60,1490,1490,419.4761905,325.1,549.2272407,477.8509898,3.898928,3.708009,0,0,2.950767,2.950767,0.1949464,0.195158368,0.653411047,0.670046572,10,8,0,0,0,0,5.386095971,5.129615211,10.51571118,3926.976925,54,1490,373.4390244,511.4377308,0,2.929648,0.0974732,0.461194932,0,2,0,18,40,0,0,0,1.354813903,373.4390244,364.3333333,2983.693548,2.952380952,0.568298681,270.5,0,2.45,0.471596244,WWW
192.168.0.11:50094<->202.88.149.25:53,192.168.0.11,50094,202.88.149.25,53,0.088048935,1,1,82,479,82,479,82,479,82,479,0,0,0,0,1611076526,0,1611076526,1611076526,0,0,0,0,0,0,0,0,0,0,11.35732079,11.35732079,22.71464158,6371.456963,82,479,280.5,280.7213921,0.088049,0.088049,0.088049,0,0,0,0,0,0,0,0,0,0.171189979,280.5,40,82,1,0.666666667,437,0,1,0.666666667,WWW
192.168.0.11:56828<->202.88.149.6:53,192.168.0.11,56828,202.88.149.6,53,0.090998888,1,1,83,477,83,477,83,477,83,477,0,0,0,0,1611076526,0,1611076526,1611076526,0,0,0,0,0,0,0,0,0,0,10.98914527,10.98914527,21.97829055,6153.921353,83,477,280,278.6000718,0.090999,0.090999,0.090999,0,0,0,0,0,0,0,0,0,0.174004193,280,41,83,1,0.666666667,435,0,1,0.666666667,WWW
192.168.0.11:59548<->202.88.149.25:53,192.168.0.11,59548,202.88.149.25,53,0.084609031,1,1,72,458,72,458,72,458,72,458,0,0,0,0,1611076526,0,1611076526,1611076526,0,0,0,0,0,0,0,0,0,0,11.81906929,11.81906929,23.63813858,6264.106724,72,458,265,272.9432175,0.084609,0.084609,0.084609,0,0,0,0,0,0,0,0,0,0.15720524,265,30,72,1,0.666666667,416,0,1,0.666666667,WWW
192.168.0.11:63308<->202.88.149.6:53,192.168.0.11,63308,202.88.149.6,53,0.085964918,1,1,82,303,82,303,82,303,82,303,0,0,0,0,1611076526,0,1611076526,1611076526,0,0,0,0,0,0,0,0,0,0,11.63265229,11.63265229,23.26530457,4478.571131,82,303,192.5,156.2705986,0.085965,0.085965,0.085965,0,0,0,0,0,0,0,0,0,0.270627063,192.5,40,82,1,0.666666667,261,0,1,0.666666667,WWW
192.168.0.11:50538<->202.88.149.25:53,192.168.0.11,50538,202.88.149.25,53,0.087601185,1,1,78,156,78,156,78,156,78,156,0,0,0,0,1611076526,0,1611076526,1611076526,0,0,0,0,0,0,0,0,0,0,11.41537069,11.41537069,22.83074139,2671.196742,78,156,117,55.15432893,0.087601,0.087601,0.087601,0,0,0,0,0,0,0,0,0,0.5,117,36,78,1,0.666666667,114,0,1,0.666666667,WWW
192.168.0.11:62033<->202.88.149.25:53,192.168.0.11,62033,202.88.149.25,53,0.090178967,1,1,81,394,81,394,81,394,81,394,0,0,0,0,1611076526,0,1611076526,1611076526,0,0,0,0,0,0,0,0,0,0,11.08906027,11.08906027,22.17812054,5267.303627,81,394,237.5,221.3244225,0.090179,0.090179,0.090179,0,0,0,0,0,0,0,0,0,0.205583756,237.5,39,81,1,0.666666667,352,0,1,0.666666667,WWW
192.168.0.11:54775<->34.98.64.218:443,192.168.0.11,54775,34.98.64.218,443,14.72492003,1,3,66,198,66,66,66,66,66,66,0,0,0,12.353261,1611076526,4.032638,1611076526,1611076526,0,6.1766305,0,3.032063271,0,0,0,0,0,0,0.067912084,0.203736251,0.271648334,17.92879006,66,66,66,0,2.371659,8.320623,4.908306667,3.06963188,0,4,0,0,3,0,0,0,0.333333333,66,0,66,1,1,0,0,1,1,WWW
192.168.0.11:50094<->202.88.149.6:53,192.168.0.11,50094,202.88.149.6,53,0.092017889,1,1,82,479,82,479,82,479,82,479,0,0,0,0,1611076526,0,1611076526,1611076526,0,0,0,0,0,0,0,0,0,0,10.86745209,10.86745209,21.73490418,6096.640622,82,479,280.5,280.7213921,0.092018,0.092018,0.092018,0,0,0,0,0,0,0,0,0,0.171189979,280.5,40,82,1,0.666666667,437,0,1,0.666666667,WWW
192.168.0.11:51256<->202.88.149.25:53,192.168.0.11,51256,202.88.149.25,53,0.091473818,1,1,70,351,70,351,70,351,70,351,0,0,0,0,1611076526,0,1611076526,1611076526,0,0,0,0,0,0,0,0,0,0,10.93208988,10.93208988,21.86417976,4602.409839,70,351,210.5,198.6970055,0.091474,0.091474,0.091474,0,0,0,0,0,0,0,0,0,0.199430199,210.5,28,70,1,0.666666667,309,0,1,0.666666667,WWW
